tau;amplptb;seed;omega_m_m_2;sigma_ksi;mu_m_m;intptb;omega_b_2;mu_g;wmin;type;mu_b;sigma_e;rateptb;omega_m_e_2;rho_t;mu_m_e;mu_m_g;omega_m_g_2;int_t0;rate_t0;ampl_t0;sdmu;omega2;generation;epsilon;nsurv;ksi;meanz;varz;meang;varg;meanm_m;varm_m;meanm_g;varm_g;meanm_e;varm_e;meanb;varb;file
0.75;2;297422838;100;0.01;0;0;100;0.01;0;three_types;0;1;0.733038;100;0;0;0;100;0;0.733038;2;0.02;40;50000;0.635413;4743;-9.98287e-05;0.0133175;1.5;0.00987313;0.507729;0;0;0;0;0;0;0;0;./core_3/sim_evolving_m_7_11_2016_212328_283173199
0.25;2;338747106;100;0.01;0;0;100;0.01;0;three_types;0;1;0.837758;100;0;0;0;100;0;0.837758;2;0.02;0.7;50000;-1.90533;1246;0.00872549;-0.0145435;1.12013;-0.00188734;0.108446;0;0;0;0;0;0;0;0;./core_3/sim_evolving_m_7_11_2016_214554_324353303
0.75;2;520198710;100;0.01;0;0;100;0.01;0;three_types;0;1;0.837758;100;0;0;0;100;0;0.837758;2;0.02;0.7;50000;-1.87947;1215;-0.00935065;0.024;1.10134;0.0076606;0.108824;0;0;0;0;0;0;0;0;./core_3/sim_evolving_m_7_11_2016_220644_506088637
0.25;2;448506815;100;0.01;0;0;100;0.01;0;three_types;0;1;0.837758;100;0;0;0;100;0;0.837758;2;0.02;40;50000;-1.89787;4749;-0.0149339;0.100711;1.56762;0.10905;0.50644;0;0;0;0;0;0;0;0;./core_3/sim_evolving_m_7_11_2016_223330_434335830
0.75;2;836134485;100;0.01;0;0;100;0.01;0;three_types;0;1;0.837758;100;0;0;0;100;0;0.837758;2;0.02;40;50000;-1.87883;4742;-0.0104151;0.0302512;1.54138;0.0161329;0.566096;0;0;0;0;0;0;0;0;./core_3/sim_evolving_m_7_11_2016_230446_821651701
0.25;2;288279060;100;0.01;0;0;100;0.01;0;three_types;0;1;0.942478;100;0;0;0;100;0;0.942478;2;0.02;0.7;50000;1.63559;3092;-0.0162092;-0.124621;1.12182;-0.140308;0.130817;0;0;0;0;0;0;0;0;./core_3/sim_evolving_m_7_11_2016_233612_273965766
0.75;2;342133056;100;0.01;0;0;100;0.01;0;three_types;0;1;0.942478;100;0;0;0;100;0;0.942478;2;0.02;0.7;50000;1.62171;3107;-0.00347436;-0.148054;1.13033;-0.136603;0.11363;0;0;0;0;0;0;0;0;./core_3/sim_evolving_m_7_11_2016_235853_327823395
0.25;2;912709959;100;0.01;0;0;100;0.01;0;three_types;0;1;0.942478;100;0;0;0;100;0;0.942478;2;0.02;40;50000;1.61585;4916;-0.000704581;-0.0786136;1.51667;-0.0844719;0.569197;0;0;0;0;0;0;0;0;./core_3/sim_evolving_m_8_11_2016_002003_898239899
0.75;2;853248499;100;0.01;0;0;100;0.01;0;three_types;0;1;0.942478;100;0;0;0;100;0;0.942478;2;0.02;40;50000;1.63349;4909;0.00556282;-0.0055345;1.54454;0.000534437;0.590721;0;0;0;0;0;0;0;0;./core_3/sim_evolving_m_8_11_2016_004854_836220070
0.25;2;727714566;100;0.01;0;0;100;0.01;0;three_types;0;1;1.0472;100;0;0;0;100;0;1.0472;2;0.02;0.7;50000;-0.00136325;1360;0.00432371;0.0543596;1.1141;0.0663035;0.103136;0;0;0;0;0;0;0;0;./core_4/sim_evolving_m_7_11_2016_205920_591961628
